time,Label1,Label2
2022/7/18 2:40,10390.991069431577,9130.326018065349
2022/7/18 2:42,10553.26255923766,9378.165602201298
2022/7/18 2:44,10407.834922248267,9508.821512086779
2022/7/18 2:46,11137.72003308454,9472.979702464418
2022/7/18 2:48,11018.350786858755,9576.186897184021
2022/7/18 2:50,10868.467518392483,9441.542187791207
2022/7/18 2:52,10612.015403995329,9436.126327999003
2022/7/18 2:54,10868.199749036761,9590.904870069518
2022/7/18 2:56,10519.91445630373,9537.321741757842
2022/7/18 2:58,10446.653480415696,9533.817267529992
2022/7/18 3:00,10609.1586986302,9893.07751846061
2022/7/18 3:02,11370.476316619917,9493.48108283543
2022/7/18 3:04,10689.152954628953,8690.920827334006
2022/7/18 3:06,10474.57546897309,8653.910876576767
2022/7/18 3:08,10074.44872731074,8523.985355601875
2022/7/18 3:10,10118.86367305454,8215.155658380969
2022/7/18 3:12,10425.889661846524,8541.594915384092
2022/7/18 3:14,10453.000331475852,8520.446215238966
2022/7/18 3:16,10141.623736781468,8428.655642942216
2022/7/18 3:18,10293.305479884524,8246.402515116411
2022/7/18 3:20,10319.952540440216,8634.871567232174
2022/7/18 3:22,10433.798922629283,8745.612453509075
2022/7/18 3:24,10050.101574803199,8498.366329042945
2022/7/18 3:26,10435.348628527927,8657.850358745272
2022/7/18 3:28,10777.188925862945,8498.941416123434
2022/7/18 3:30,10293.223078935313,8241.620138998964
2022/7/18 3:32,10243.979551842842,8297.69169652023
2022/7/18 3:34,10356.259684773204,8177.119423252617
2022/7/18 3:36,10428.513275451294,8293.076992443168
2022/7/18 3:38,10391.673400356749,8132.037093714063
2022/7/18 3:40,10337.532654146959,8486.861978977995
2022/7/18 3:42,11487.634059714783,8339.679775394
2022/7/18 3:44,11213.175247252015,8404.693414995341
2022/7/18 3:46,11420.471650381656,8533.799893369263
2022/7/18 3:48,11911.968457489389,8766.66436429455
2022/7/18 3:50,11661.651600959134,8137.830938854011
2022/7/18 3:52,11765.317165960123,8589.342069064283
2022/7/18 3:54,11766.483553380232,8479.3067638258
2022/7/18 3:56,12208.217008198353,8487.7729844799
2022/7/18 3:58,11863.96357608657,8331.85836391664
